test,level,var,mean
noise,0.5,0.029402845888576265,0.39444662597269015
noise,1.0,0.028699420802802415,0.4983044545770881
noise,2.0,0.025489221258743214,0.5746209155985298
missing,0.01,0.036813180542871686,0.22778712626715134
missing,0.05,0.035708335015013214,0.2303216934384861
missing,0.1,0.03428927845800612,0.23363461149100861
