Fold,TP,TN,FP,FN,ACC,PREC,REC,F1,ROC_AUC,PR_AUC
1,1361,1359,123,121,0.9176788124156545,0.9171159029649596,0.918353576248313,0.9177343223196224,0.9752768717183803,0.9749596914486715
2,1339,1335,147,143,0.9021592442645074,0.9010767160161507,0.9035087719298246,0.9022911051212938,0.9735831325432859,0.9744221075636503
3,1347,1345,137,135,0.9082321187584346,0.9076819407008087,0.9089068825910931,0.9082939986513825,0.9760877721137683,0.9759665219082765
4,1304,1304,178,178,0.8798920377867746,0.8798920377867746,0.8798920377867746,0.8798920377867746,0.9615985619608036,0.9620603313845887
5,1324,1324,158,158,0.893387314439946,0.893387314439946,0.893387314439946,0.893387314439946,0.9677388217767505,0.9682076879749657
